9 Schriftgroesse

Name   x-Koord   y-Koord   x-Urspr   y-Urspr
Wannsee 21 315 21 315
Zehlendorf 82 282 91 282
Lichterfelde 166 292 166 292
Neukoeln 278 292 278 301
Marienfelde 217 311 217 311
Lankwitz 195 322 195 322
Oberschoeneweide 335 326 398 335
Lichtenrade 237 344 237 344
Rudow 338 314 338 323
Altglienicke 391 314 391 314
Koepenik 381 297 390 297
Mariendorf 175 280 238 289
Schoeneberg 203 268 239 277
Steglitz 125 261 170 270
Britz 229 257 274 257
Tempelhof 192 247 219 256
Grunewald 110 247 146 247
Kladow 38 261 38 261
Schoeneberg 177 232 177 232
Gatow 54 215 54 215
Wilmersdorf 106 220 106 229
Friedrichshain 250 216 295 216
Charlottenburg 87 199 132 208
Mitte 217 196 217 196
Siemensstadt 120 170 120 179
Staaken 57 180 57 180
Spandau 53 163 53 163
Haselhorst 123 147 123 156
Wedding 197 159 197 159
Falkenberg 252 136 333 145
Reinickendorf 96 129 186 129
Hakenfelde 6 131 69 131
Tegel 80 115 125 124
Konradshoehe 129 110 129 110
Hermsdorf 186 95 195 95
Heiligensee 100 78 118 87
Luebers 204 72 204 81
Frohnau 139 67 139 67
Blankenfelde 271 53 271 62
Buch 300 69 300 69
Blankenburg 269 91 269 91
Wilhelmsruh 260 108 260 108
Heinarsdorf 220 122 265 122
Malchow 322 121 322 130
Pankow 255 146 255 146
Weissensee 276 161 276 161
Marzahn 371 169 371 169
Tiergarten 136 181 199 181
Prenzlauer_Berg 231 183 276 192
Hellersdorf 382 205 382 205
Kreuzberg 164 210 236 219
Hohenschoenhausen 383 218 383 218
Lichtenberg 369 188 369 188
Lichtenberg 324 237 324 237
Friedrichsfelde 281 255 326 255
Biesdorf 422 251 422 260
Oberdorf 440 268 440 277
Treptow 310 272 310 281
Johannistal 270 281 324 290
Kaulsdorf 375 281 438 281
Mahlsdorf 470 289 470 298
Friedrichshagen 459 305 459 314
